RESOURCE;FIELD;SCHEMA;ANON;BRP;ES;EU;FISO;MO;SO;SP;TP;ORG;ENT;IEN;ID
service_providing_group_product_suspension;product_type_ids;api;;R;R;R;RC;R;RC;R;R;;;;
service_providing_group_product_suspension;reason;api;;R;R;R;RCU;R;RCU;R;R;;;;
service_providing_group_product_suspension;recorded_at;api;;R;R;R;R;R;R;R;R;;;;
service_providing_group_product_suspension;recorded_by;api;;R;R;R;R;R;R;R;R;;;;
service_providing_group_product_suspension_comment;;api;;;;;;;;;;;;R;
service_providing_group_product_suspension_comment;id;api;;R;R;R;R;R;R;R;R;;;;
service_providing_group_product_suspension_comment;service_providing_group_product_suspension_id;api;;R;R;R;RC;R;RC;RC;R;;;;
service_providing_group_product_suspension_comment;created_by;api;;R;R;R;R;R;R;R;R;;;;
service_providing_group_product_suspension_comment;created_at;api;;R;R;R;R;R;R;R;R;;;;
service_providing_group_product_suspension_comment;visibility;api;;R;R;R;RCU;R;RCU;RCU;R;;;;
service_providing_group_product_suspension_comment;content;api;;R;R;R;RCU;R;RCU;RCU;R;;;;
service_providing_group_product_suspension_comment;recorded_at;api;;R;R;R;R;R;R;R;R;;;;
service_providing_group_product_suspension_comment;recorded_by;api;;R;R;R;R;R;R;R;R;;;;
service_provider_product_application_comment;;api;;;;;;;;;;;;R;
service_provider_product_application_comment;id;api;;R;R;R;R;R;R;R;R;;;;
service_provider_product_application_comment;service_provider_product_application_id;api;;R;R;R;RC;R;RC;RC;R;;;;
service_provider_product_application_comment;created_by;api;;R;R;R;R;R;R;R;R;;;;
service_provider_product_application_comment;created_at;api;;R;R;R;R;R;R;R;R;;;;
service_provider_product_application_comment;visibility;api;;R;R;R;RCU;R;RCU;RCU;R;;;;
service_provider_product_application_comment;content;api;;R;R;R;RCU;R;RCU;RCU;R;;;;
service_provider_product_application_comment;recorded_at;api;;R;R;R;R;R;R;R;R;;;;
service_provider_product_application_comment;recorded_by;api;;R;R;R;R;R;R;R;R;;;;
notice;;api;;;;;;;;;;;;;
notice;id;api;;R;R;R;R;R;R;R;R;;;;
notice;party_id;api;;R;R;R;R;R;R;R;R;;;;
notice;type;api;;R;R;R;R;R;R;R;R;;;;
notice;source;api;;R;R;R;R;R;R;R;R;;;;
notice;data;api;;R;R;R;R;R;R;R;R;;;;
